ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-10-27,Lady Gaga,1,1,85,1
2018-10-27,BTS,1,7,106,2
2018-10-27,Bradley Cooper,3,3,3,3
2018-10-27,Drake,1,6,225,4
2018-10-27,Post Malone,1,8,121,5
2018-10-27,Ella Mai,6,26,26,6
2018-10-27,Imagine Dragons,1,9,193,7
2018-10-27,Eminem,1,11,225,8
2018-10-27,twenty one pilots,1,2,183,9
2018-10-27,Lil Wayne,1,5,22,10
2018-10-27,Quavo,11,88,43,11
2018-10-27,Travis Scott,1,18,128,12
2018-10-27,Ariana Grande,1,16,193,13
2018-10-27,Cardi B,1,15,66,14
2018-10-27,XXXTENTACION,1,14,62,15
2018-10-27,Lil Baby,12,12,23,16
2018-10-27,Maroon 5,1,21,225,17
2018-10-27,Ed Sheeran,1,20,219,18
2018-10-27,Juice WRLD,12,19,22,19
2018-10-27,Luke Combs,5,25,85,20
2018-10-27,Halsey,1,17,149,21
2018-10-27,Khalid,11,23,85,22
2018-10-27,Bad Bunny,23,48,31,23
2018-10-27,Kodak Black,6,67,69,24
2018-10-27,Lauren Daigle,3,35,33,25
2018-10-27,Camila Cabello,1,31,97,26
2018-10-27,5 Seconds Of Summer,1,28,82,27
2018-10-27,Shawn Mendes,1,27,193,28
2018-10-27,Panic! At The Disco,1,33,109,29
2018-10-27,Taylor Swift,1,24,221,30
2018-10-27,Eric Church,4,4,159,31
2018-10-27,Bruno Mars,1,30,213,32
2018-10-27,tobyMac,33,0,3,33
2018-10-27,Kane Brown,5,34,70,34
2018-10-27,Dan + Shay,11,37,47,35
2018-10-27,Marshmello,25,38,53,36
2018-10-27,Gunna,22,22,2,37
2018-10-27,Chris Stapleton,1,42,156,38
2018-10-27,Jason Aldean,1,51,203,39
2018-10-27,6ix9ine,13,29,40,40
2018-10-27,Selena Gomez,2,36,194,41
2018-10-27,Bebe Rexha,23,41,87,42
2018-10-27,Cher,2,56,3,43
2018-10-27,Carrie Underwood,1,47,162,44
2018-10-27,Florida Georgia Line,1,40,225,45
2018-10-27,Steve Perry,10,10,2,46
2018-10-27,Nicki Minaj,2,44,214,47
2018-10-27,Kendrick Lamar,1,39,196,48
2018-10-27,Queen,44,65,25,49
2018-10-27,Bazzi,34,49,38,50
2018-10-27,Elvis Costello,51,0,0,51
2018-10-27,Kevin Gates,5,46,54,52
2018-10-27,Thomas Rhett,1,53,194,53
2018-10-27,NF,8,55,54,54
2018-10-27,lovelytheband,54,54,11,55
2018-10-27,Michael Jackson,20,72,190,56
2018-10-27,Old Dominion,10,58,108,57
2018-10-27,DJ Snake,16,76,101,58
2018-10-27,Dua Lipa,10,50,60,59
2018-10-27,NCT 127,60,0,0,60
2018-10-27,Bastille,15,57,31,61
2018-10-27,Tyga,27,52,30,62
2018-10-27,Sheck Wes,43,43,4,63
2018-10-27,Charlie Puth,6,45,177,64
2018-10-27,for KING & COUNTRY,13,13,3,65
2018-10-27,The Chainsmokers,1,63,151,66
2018-10-27,Jimmie Allen,67,0,0,67
2018-10-27,Cole Swindell,8,79,148,68
2018-10-27,Polyphia,69,0,0,69
2018-10-27,Lauv,43,59,25,70
2018-10-27,Brett Young,26,70,98,71
2018-10-27,P!nk,1,61,128,72
2018-10-27,Morgan Evans,73,0,0,73
2018-10-27,J Balvin,16,68,58,74
2018-10-27,Metallica,2,0,174,75
2018-10-27,Offset,75,0,11,76
2018-10-27,Migos,1,74,106,77
2018-10-27,DJ Khaled,2,64,103,78
2018-10-27,Atreyu,79,0,2,79
2018-10-27,Louis Tomlinson,33,92,15,80
2018-10-27,Lil Uzi Vert,2,69,104,81
2018-10-27,Zedd,17,82,85,82
2018-10-27,Billie Eilish,59,0,8,83
2018-10-27,Maren Morris,15,86,93,84
2018-10-27,Adele,1,91,193,85
2018-10-27,Normani,65,84,13,86
2018-10-27,Tom Petty And The Heartbreakers,1,78,16,87
2018-10-27,Lynyrd Skynyrd,40,95,35,88
2018-10-27,Kanye West,1,66,107,89
2018-10-27,YoungBoy Never Broke Again,26,81,42,90
2018-10-27,Kenny Chesney,1,89,161,91
2018-10-27,Luke Bryan,1,85,224,92
2018-10-27,Russell Dickerson,69,77,15,93
2018-10-27,Sam Smith,1,100,140,94
2018-10-27,Blake Shelton,1,0,210,95
2018-10-27,Sia,5,0,183,96
2018-10-27,Ozuna,17,87,49,97
2018-10-27,Justin Bieber,1,93,214,98
2018-10-27,Kurt Vile,99,0,0,99
2018-10-27,Eric Clapton,15,0,9,100
