ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-09-22,Paul McCartney,1,1,16,1
2018-09-22,Eminem,1,1,220,2
2018-09-22,Lauren Daigle,3,49,28,3
2018-09-22,BTS,1,2,101,4
2018-09-22,Drake,1,3,220,5
2018-09-22,Mac Miller,6,0,5,6
2018-09-22,Post Malone,1,4,116,7
2018-09-22,Imagine Dragons,1,5,188,8
2018-09-22,Russ,9,0,11,9
2018-09-22,Ariana Grande,1,6,188,10
2018-09-22,Travis Scott,1,8,123,11
2018-09-22,Cardi B,1,9,61,12
2018-09-22,Ed Sheeran,1,11,214,13
2018-09-22,XXXTENTACION,1,12,57,14
2018-09-22,Maroon 5,1,10,220,15
2018-09-22,Juice WRLD,12,14,17,16
2018-09-22,Luke Combs,5,16,80,17
2018-09-22,Kane Brown,5,25,65,18
2018-09-22,$uicideBoy$,19,0,0,19
2018-09-22,Nicki Minaj,2,18,209,20
2018-09-22,Ella Mai,17,19,21,21
2018-09-22,Machine Gun Kelly,11,0,27,22
2018-09-22,Khalid,11,21,80,23
2018-09-22,Taylor Swift,1,20,216,24
2018-09-22,6ix9ine,13,17,35,25
2018-09-22,5 Seconds Of Summer,1,23,77,26
2018-09-22,Shawn Mendes,1,26,188,27
2018-09-22,Clutch,28,0,2,28
2018-09-22,Florida Georgia Line,1,22,220,29
2018-09-22,Bruno Mars,1,27,208,30
2018-09-22,Aretha Franklin,2,15,6,31
2018-09-22,Camila Cabello,1,24,92,32
2018-09-22,Panic! At The Disco,1,28,104,33
2018-09-22,Selena Gomez,2,32,189,34
2018-09-22,Dan + Shay,11,33,42,35
2018-09-22,Thomas Rhett,1,31,189,36
2018-09-22,Kanye West,1,0,102,37
2018-09-22,Jason Aldean,1,29,198,38
2018-09-22,Chris Stapleton,1,37,151,39
2018-09-22,Tyga,27,38,25,40
2018-09-22,Bebe Rexha,23,35,82,41
2018-09-22,J Balvin,16,36,53,42
2018-09-22,YoungBoy Never Broke Again,26,34,37,43
2018-09-22,Lil Pump,12,0,37,44
2018-09-22,Dua Lipa,10,46,55,45
2018-09-22,Kendrick Lamar,1,40,191,46
2018-09-22,Metallica,2,56,170,47
2018-09-22,Charlie Puth,6,42,172,48
2018-09-22,Marshmello,25,50,48,49
2018-09-22,Luke Bryan,1,39,219,50
2018-09-22,Childish Gambino,3,30,84,51
2018-09-22,Bazzi,34,53,33,52
2018-09-22,Migos,1,47,101,53
2018-09-22,DJ Khaled,2,52,98,54
2018-09-22,Bad Bunny,30,44,26,55
2018-09-22,Lil Baby,25,57,18,56
2018-09-22,Lauv,43,43,20,57
2018-09-22,Brett Young,26,51,93,58
2018-09-22,Kenny Chesney,1,48,156,59
2018-09-22,Halsey,1,58,144,60
2018-09-22,Carrie Underwood,3,61,157,61
2018-09-22,Grateful Dead,25,0,15,62
2018-09-22,The Chainsmokers,1,60,146,63
2018-09-22,twenty one pilots,1,41,178,64
2018-09-22,NF,8,63,49,65
2018-09-22,Cole Swindell,8,59,143,66
2018-09-22,J. Cole,1,0,139,67
2018-09-22,Old Dominion,10,64,103,68
2018-09-22,lovelytheband,68,68,6,69
2018-09-22,Lenny Kravitz,70,0,2,70
2018-09-22,Normani,65,65,8,71
2018-09-22,P!nk,1,70,123,72
2018-09-22,The Weeknd,1,67,205,73
2018-09-22,Queen,44,72,20,74
2018-09-22,Hozier,5,0,70,75
2018-09-22,Weezer,15,69,12,76
2018-09-22,Dylan Scott,67,95,11,77
2018-09-22,Ozuna,17,62,44,78
2018-09-22,Michael Jackson,20,45,185,79
2018-09-22,St. Paul & The Broken Bones,80,0,2,80
2018-09-22,Adele,1,74,188,81
2018-09-22,Quavo,47,66,38,82
2018-09-22,G-Eazy,6,82,104,83
2018-09-22,Russell Dickerson,69,94,10,84
2018-09-22,Louis Tomlinson,33,83,10,85
2018-09-22,Led Zeppelin,5,0,41,86
2018-09-22,Justin Bieber,1,78,211,87
2018-09-22,YG,16,76,31,88
2018-09-22,Justin Timberlake,1,75,169,89
2018-09-22,Bryce Vine,80,80,3,90
2018-09-22,Sam Smith,1,79,136,91
2018-09-22,Maren Morris,15,87,88,92
2018-09-22,Lynyrd Skynyrd,40,54,30,93
2018-09-22,Paul Simon,7,0,3,94
2018-09-22,Upchurch,83,0,2,95
2018-09-22,SZA,16,90,66,96
2018-09-22,Queen Naija,28,85,8,97
2018-09-22,Rihanna,2,86,212,98
2018-09-22,MercyMe,15,0,31,99
2018-09-22,Dierks Bentley,3,55,106,100
