ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-09-01,Ariana Grande,1,16,185,1
2018-09-01,Aretha Franklin,2,4,3,2
2018-09-01,Drake,1,3,217,3
2018-09-01,Post Malone,1,5,113,4
2018-09-01,Travis Scott,1,1,120,5
2018-09-01,Nicki Minaj,2,2,206,6
2018-09-01,Imagine Dragons,1,6,185,7
2018-09-01,Cole Swindell,8,89,140,8
2018-09-01,BTS,1,7,98,9
2018-09-01,Cardi B,1,8,58,10
2018-09-01,Maroon 5,1,9,217,11
2018-09-01,Ed Sheeran,1,12,211,12
2018-09-01,XXXTENTACION,1,14,54,13
2018-09-01,Juice WRLD,12,15,14,14
2018-09-01,Luke Combs,5,17,77,15
2018-09-01,Taylor Swift,1,10,213,16
2018-09-01,Camila Cabello,1,26,89,17
2018-09-01,Death Cab For Cutie,18,0,3,18
2018-09-01,Shawn Mendes,1,21,185,19
2018-09-01,Khalid,11,23,77,20
2018-09-01,Panic! At The Disco,1,30,101,21
2018-09-01,Florida Georgia Line,1,20,217,22
2018-09-01,Ella Mai,17,25,18,23
2018-09-01,Kane Brown,5,18,62,24
2018-09-01,Bruno Mars,1,27,205,25
2018-09-01,Kenny Chesney,1,19,153,26
2018-09-01,Jason Aldean,1,24,195,27
2018-09-01,5 Seconds Of Summer,1,28,74,28
2018-09-01,6ix9ine,13,34,32,29
2018-09-01,Thomas Rhett,1,32,186,30
2018-09-01,J Balvin,16,31,50,31
2018-09-01,Ninja Sex Party,32,0,3,32
2018-09-01,Brett Young,26,33,90,33
2018-09-01,Chris Stapleton,1,35,148,34
2018-09-01,Selena Gomez,2,41,186,35
2018-09-01,Kendrick Lamar,1,38,188,36
2018-09-01,Bebe Rexha,23,39,79,37
2018-09-01,Dan + Shay,11,36,39,38
2018-09-01,Luke Bryan,1,37,216,39
2018-09-01,Blue October,40,0,2,40
2018-09-01,Tyga,27,42,22,41
2018-09-01,Bad Bunny,30,45,23,42
2018-09-01,Migos,1,43,98,43
2018-09-01,Lynyrd Skynyrd,44,68,27,44
2018-09-01,Dua Lipa,10,40,52,45
2018-09-01,Lauren Daigle,40,54,25,46
2018-09-01,Charlie Puth,6,48,169,47
2018-09-01,DJ Khaled,2,44,95,48
2018-09-01,Bazzi,34,46,30,49
2018-09-01,twenty one pilots,1,29,175,50
2018-09-01,Marshmello,25,62,45,51
2018-09-01,Lil Baby,25,50,15,52
2018-09-01,Eagles,10,0,29,53
2018-09-01,Lauv,54,73,17,54
2018-09-01,Trippie Redd,13,13,2,55
2018-09-01,Keith Urban,2,52,176,56
2018-09-01,P!nk,1,65,120,57
2018-09-01,Daddy Yankee,19,0,55,58
2018-09-01,Halsey,1,47,141,59
2018-09-01,Childish Gambino,3,56,81,60
2018-09-01,Old Dominion,10,63,100,61
2018-09-01,The Chainsmokers,1,61,143,62
2018-09-01,The Weeknd,1,49,202,63
2018-09-01,Eminem,1,55,217,64
2018-09-01,YoungBoy Never Broke Again,26,66,34,65
2018-09-01,NF,8,59,46,66
2018-09-01,Elvis Presley,20,22,39,67
2018-09-01,Michael Jackson,20,71,182,68
2018-09-01,Metallica,2,69,167,69
2018-09-01,The Carters,3,57,10,70
2018-09-01,Jason Mraz,5,11,5,71
2018-09-01,Justin Bieber,1,72,208,72
2018-09-01,Eric Church,8,0,154,73
2018-09-01,Sam Smith,1,0,133,74
2018-09-01,Normani,75,77,5,75
2018-09-01,Neil Diamond,9,0,5,76
2018-09-01,Demi Lovato,3,60,142,77
2018-09-01,Queen,44,64,17,78
2018-09-01,MercyMe,15,90,30,79
2018-09-01,Adele,1,75,185,80
2018-09-01,Quavo,47,58,35,81
2018-09-01,Weezer,15,74,9,82
2018-09-01,Alessia Cara,12,70,139,83
2018-09-01,Calvin Harris,8,0,140,84
2018-09-01,Justin Timberlake,1,84,166,85
2018-09-01,J. Cole,1,51,137,86
2018-09-01,Dierks Bentley,3,81,103,87
2018-09-01,Rihanna,2,94,210,88
2018-09-01,G-Eazy,6,80,101,89
2018-09-01,YG,16,53,28,90
2018-09-01,Portugal. The Man,16,79,60,91
2018-09-01,lovelytheband,78,82,3,92
2018-09-01,SZA,16,83,63,93
2018-09-01,ABBA,38,78,6,94
2018-09-01,Billie Eilish,59,76,5,95
2018-09-01,Queen Naija,28,86,5,96
2018-09-01,Rich The Kid,16,87,28,97
2018-09-01,Kanye West,1,67,100,98
2018-09-01,Anne-Marie,61,85,19,99
2018-09-01,Ozuna,44,95,41,100
