ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-12-01,Mumford & Sons,1,1,28,1
2018-12-01,Queen,1,1,30,2
2018-12-01,Michael Buble,3,0,29,3
2018-12-01,Ariana Grande,1,4,198,4
2018-12-01,Imagine Dragons,1,3,198,5
2018-12-01,Drake,1,5,230,6
2018-12-01,Post Malone,1,6,126,7
2018-12-01,Mariah Carey,8,53,28,8
2018-12-01,Halsey,1,11,154,9
2018-12-01,Cardi B,1,12,71,10
2018-12-01,BTS,1,9,111,11
2018-12-01,Travis Scott,1,15,133,12
2018-12-01,XXXTENTACION,1,8,67,13
2018-12-01,Panic! At The Disco,1,17,114,14
2018-12-01,Lady Gaga,1,7,90,15
2018-12-01,Juice WRLD,8,13,27,16
2018-12-01,Khalid,7,18,90,17
2018-12-01,Luke Combs,5,19,90,18
2018-12-01,Pentatonix,1,43,54,19
2018-12-01,Billie Eilish,20,36,13,20
2018-12-01,Kane Brown,2,2,75,21
2018-12-01,Dan + Shay,11,25,52,22
2018-12-01,Ella Mai,6,24,31,23
2018-12-01,Eminem,1,28,230,24
2018-12-01,Kodak Black,6,41,74,25
2018-12-01,Ed Sheeran,1,22,224,26
2018-12-01,Lauren Daigle,3,21,38,27
2018-12-01,Bradley Cooper,3,20,8,28
2018-12-01,Marshmello,25,34,58,29
2018-12-01,Lil Baby,12,30,28,30
2018-12-01,5 Seconds Of Summer,1,32,87,31
2018-12-01,Chris Stapleton,1,31,161,32
2018-12-01,Mark Knopfler,33,0,2,33
2018-12-01,Maroon 5,1,29,230,34
2018-12-01,Bruno Mars,1,35,218,35
2018-12-01,Shawn Mendes,1,33,198,36
2018-12-01,Camila Cabello,1,38,102,37
2018-12-01,Sheck Wes,38,44,9,38
2018-12-01,Trippie Redd,13,16,6,39
2018-12-01,The Beatles,5,10,56,40
2018-12-01,twenty one pilots,1,42,188,41
2018-12-01,Lil Wayne,1,26,27,42
2018-12-01,The Chainsmokers,1,63,156,43
2018-12-01,Taylor Swift,1,40,226,44
2018-12-01,Bad Bunny,23,45,36,45
2018-12-01,Thomas Rhett,1,46,199,46
2018-12-01,Bastille,15,48,36,47
2018-12-01,Kendrick Lamar,1,54,201,48
2018-12-01,NF,8,50,59,49
2018-12-01,Bazzi,34,55,43,50
2018-12-01,EXO,9,27,25,51
2018-12-01,Jason Aldean,1,49,208,52
2018-12-01,6ix9ine,13,60,45,53
2018-12-01,Florida Georgia Line,1,52,230,54
2018-12-01,Dua Lipa,10,57,65,55
2018-12-01,Bebe Rexha,23,47,92,56
2018-12-01,lovelytheband,54,56,16,57
2018-12-01,Elvis Presley,20,78,42,58
2018-12-01,Trans-Siberian Orchestra,19,0,28,59
2018-12-01,Nicki Minaj,2,67,219,60
2018-12-01,Bing Crosby,35,0,21,61
2018-12-01,Brett Young,26,51,103,62
2018-12-01,Casting Crowns,20,0,8,63
2018-12-01,Andy Williams,47,0,18,64
2018-12-01,NCT 127,60,0,3,65
2018-12-01,Anderson .Paak,66,0,0,66
2018-12-01,Muse,4,23,5,67
2018-12-01,DJ Snake,16,58,106,68
2018-12-01,Swae Lee,65,65,5,69
2018-12-01,Metro Boomin,14,39,13,70
2018-12-01,Gunna,22,59,7,71
2018-12-01,Jimmie Allen,61,61,6,72
2018-12-01,Selena Gomez,2,62,199,73
2018-12-01,Tyga,27,68,35,74
2018-12-01,Carrie Underwood,1,71,167,75
2018-12-01,Burl Ives,61,0,17,76
2018-12-01,Gucci Mane,5,97,78,77
2018-12-01,Frank Sinatra,33,0,22,78
2018-12-01,Migos,1,90,111,79
2018-12-01,Chris Cornell,60,0,4,80
2018-12-01,Lauv,43,70,30,81
2018-12-01,John Legend,15,86,106,82
2018-12-01,The Weeknd,1,91,214,83
2018-12-01,Gene Autry,76,0,9,84
2018-12-01,Maren Morris,15,73,98,85
2018-12-01,Flipp Dinero,86,89,2,86
2018-12-01,J Balvin,16,94,63,87
2018-12-01,Little Mix,37,0,12,88
2018-12-01,Luke Bryan,1,79,229,89
2018-12-01,Blake Shelton,1,84,213,90
2018-12-01,Normani,65,88,18,91
2018-12-01,Mitchell Tenpenny,80,80,5,92
2018-12-01,Vince Guaraldi Trio,64,0,14,93
2018-12-01,The Smashing Pumpkins,94,0,0,94
2018-12-01,Ozuna,17,0,53,95
2018-12-01,Justin Bieber,1,0,216,96
2018-12-01,Andrea Bocelli,1,72,10,97
2018-12-01,Keith Urban,2,93,180,98
2018-12-01,Metallica,2,77,179,99
2018-12-01,Yella Beezy,100,0,0,100
