ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-09-15,Eminem,1,64,219,1
2018-09-15,BTS,1,1,100,2
2018-09-15,Drake,1,2,219,3
2018-09-15,Post Malone,1,5,115,4
2018-09-15,Imagine Dragons,1,7,187,5
2018-09-15,Ariana Grande,1,4,187,6
2018-09-15,Troye Sivan,7,0,32,7
2018-09-15,Travis Scott,1,3,122,8
2018-09-15,Cardi B,1,9,60,9
2018-09-15,Maroon 5,1,11,219,10
2018-09-15,Ed Sheeran,1,10,213,11
2018-09-15,XXXTENTACION,1,6,56,12
2018-09-15,Why Don't We,13,0,2,13
2018-09-15,Juice WRLD,12,12,16,14
2018-09-15,Aretha Franklin,2,27,5,15
2018-09-15,Luke Combs,5,14,79,16
2018-09-15,6ix9ine,13,25,34,17
2018-09-15,Nicki Minaj,2,8,208,18
2018-09-15,Ella Mai,17,23,20,19
2018-09-15,Taylor Swift,1,16,215,20
2018-09-15,Khalid,11,18,79,21
2018-09-15,Florida Georgia Line,1,15,219,22
2018-09-15,5 Seconds Of Summer,1,21,76,23
2018-09-15,Camila Cabello,1,22,91,24
2018-09-15,Kane Brown,5,24,64,25
2018-09-15,Shawn Mendes,1,19,187,26
2018-09-15,Bruno Mars,1,28,207,27
2018-09-15,Panic! At The Disco,1,26,103,28
2018-09-15,Jason Aldean,1,20,197,29
2018-09-15,Childish Gambino,3,70,83,30
2018-09-15,Thomas Rhett,1,29,188,31
2018-09-15,Selena Gomez,2,31,188,32
2018-09-15,Dan + Shay,11,36,41,33
2018-09-15,YoungBoy Never Broke Again,26,30,36,34
2018-09-15,Bebe Rexha,23,37,81,35
2018-09-15,J Balvin,16,34,52,36
2018-09-15,Chris Stapleton,1,32,150,37
2018-09-15,Tyga,27,39,24,38
2018-09-15,Luke Bryan,1,41,218,39
2018-09-15,Kendrick Lamar,1,48,190,40
2018-09-15,twenty one pilots,1,45,177,41
2018-09-15,Charlie Puth,6,46,171,42
2018-09-15,Lauv,43,56,19,43
2018-09-15,Bad Bunny,30,49,25,44
2018-09-15,Michael Jackson,20,35,184,45
2018-09-15,Dua Lipa,10,52,54,46
2018-09-15,Migos,1,47,100,47
2018-09-15,Kenny Chesney,1,33,155,48
2018-09-15,Lauren Daigle,40,42,27,49
2018-09-15,Marshmello,25,54,47,50
2018-09-15,Brett Young,26,43,92,51
2018-09-15,DJ Khaled,2,50,97,52
2018-09-15,Bazzi,34,51,32,53
2018-09-15,Lynyrd Skynyrd,40,40,29,54
2018-09-15,Dierks Bentley,3,96,105,55
2018-09-15,Metallica,2,62,169,56
2018-09-15,Lil Baby,25,53,17,57
2018-09-15,Halsey,1,57,143,58
2018-09-15,Cole Swindell,8,44,142,59
2018-09-15,The Chainsmokers,1,55,145,60
2018-09-15,Carrie Underwood,3,0,156,61
2018-09-15,Ozuna,17,17,43,62
2018-09-15,NF,8,63,48,63
2018-09-15,Old Dominion,10,60,102,64
2018-09-15,Normani,65,65,7,65
2018-09-15,Quavo,47,61,37,66
2018-09-15,The Weeknd,1,69,204,67
2018-09-15,lovelytheband,68,76,5,68
2018-09-15,Weezer,15,73,11,69
2018-09-15,P!nk,1,66,122,70
2018-09-15,Leon Bridges,7,0,4,71
2018-09-15,Queen,44,79,19,72
2018-09-15,Amos Lee,73,0,2,73
2018-09-15,Adele,1,68,187,74
2018-09-15,Justin Timberlake,1,67,168,75
2018-09-15,YG,16,84,30,76
2018-09-15,Keith Urban,2,94,178,77
2018-09-15,Justin Bieber,1,74,210,78
2018-09-15,Sam Smith,1,59,135,79
2018-09-15,Bryce Vine,80,80,2,80
2018-09-15,Eric Church,8,88,156,81
2018-09-15,G-Eazy,6,82,103,82
2018-09-15,Louis Tomlinson,33,71,9,83
2018-09-15,The Carters,3,75,12,84
2018-09-15,Queen Naija,28,89,7,85
2018-09-15,Rihanna,2,0,211,86
2018-09-15,Maren Morris,15,81,87,87
2018-09-15,Demi Lovato,3,77,144,88
2018-09-15,Trippie Redd,13,78,4,89
2018-09-15,SZA,16,87,65,90
2018-09-15,Anne-Marie,61,90,21,91
2018-09-15,Eagles,10,58,31,92
2018-09-15,Fleetwood Mac,58,85,21,93
2018-09-15,Russell Dickerson,69,0,9,94
2018-09-15,Dylan Scott,67,0,10,95
2018-09-15,Tash Sultana,96,0,0,96
2018-09-15,Portugal. The Man,16,92,62,97
2018-09-15,Joyner Lucas,98,0,0,98
2018-09-15,Billie Eilish,59,97,7,99
2018-09-15,Offset,75,0,9,100
