ChartDate,Artist,PeakPosition,LastPosition,WeeksOnChart,CurrentPosition
2018-11-03,Greta Van Fleet,1,1,3,1
2018-11-03,Lady Gaga,1,1,86,2
2018-11-03,Disturbed,3,0,48,3
2018-11-03,BTS,1,2,107,4
2018-11-03,Post Malone,1,5,122,5
2018-11-03,Drake,1,4,226,6
2018-11-03,Khalid,7,22,86,7
2018-11-03,Juice WRLD,8,19,23,8
2018-11-03,Bradley Cooper,3,3,4,9
2018-11-03,Imagine Dragons,1,7,194,10
2018-11-03,Cardi B,1,14,67,11
2018-11-03,Travis Scott,1,12,129,12
2018-11-03,Ariana Grande,1,13,194,13
2018-11-03,Eminem,1,8,226,14
2018-11-03,Halsey,1,21,150,15
2018-11-03,XXXTENTACION,1,15,63,16
2018-11-03,Queen,17,49,26,17
2018-11-03,Ed Sheeran,1,18,220,18
2018-11-03,Ella Mai,6,6,27,19
2018-11-03,Lil Wayne,1,10,23,20
2018-11-03,Maroon 5,1,17,226,21
2018-11-03,Luke Combs,5,20,86,22
2018-11-03,Kane Brown,5,34,71,23
2018-11-03,twenty one pilots,1,9,184,24
2018-11-03,Lil Baby,12,16,24,25
2018-11-03,Panic! At The Disco,1,29,110,26
2018-11-03,Lauren Daigle,3,25,34,27
2018-11-03,LAY,28,0,0,28
2018-11-03,Jason Aldean,1,39,204,29
2018-11-03,Future,1,0,149,30
2018-11-03,5 Seconds Of Summer,1,27,83,31
2018-11-03,Shawn Mendes,1,28,194,32
2018-11-03,Camila Cabello,1,26,98,33
2018-11-03,Marshmello,25,36,54,34
2018-11-03,Bruno Mars,1,32,214,35
2018-11-03,Dan + Shay,11,35,48,36
2018-11-03,Kodak Black,6,24,70,37
2018-11-03,Taylor Swift,1,30,222,38
2018-11-03,Dua Lipa,10,59,61,39
2018-11-03,Chris Stapleton,1,38,157,40
2018-11-03,RM,41,0,0,41
2018-11-03,Bad Bunny,23,23,32,42
2018-11-03,Bebe Rexha,23,42,88,43
2018-11-03,Quavo,11,11,44,44
2018-11-03,6ix9ine,13,40,41,45
2018-11-03,Selena Gomez,2,41,195,46
2018-11-03,Florida Georgia Line,1,45,226,47
2018-11-03,Michael Jackson,20,56,191,48
2018-11-03,Jason Isbell And The 400 Unit,12,0,3,49
2018-11-03,Bazzi,34,50,39,50
2018-11-03,Eric Church,4,31,160,51
2018-11-03,Billie Eilish,52,83,9,52
2018-11-03,Thomas Rhett,1,53,195,53
2018-11-03,Kendrick Lamar,1,48,197,54
2018-11-03,NF,8,54,55,55
2018-11-03,Bastille,15,61,32,56
2018-11-03,Gunna,22,37,3,57
2018-11-03,Ace Frehley,57,0,3,58
2018-11-03,lovelytheband,54,55,12,59
2018-11-03,Carrie Underwood,1,44,163,60
2018-11-03,Sheck Wes,43,63,5,61
2018-11-03,Nicki Minaj,2,47,215,62
2018-11-03,DJ Snake,16,58,102,63
2018-11-03,EXO,18,0,21,64
2018-11-03,Logic,1,0,52,65
2018-11-03,P!nk,1,72,129,66
2018-11-03,Swae Lee,67,0,0,67
2018-11-03,Elle King,14,0,55,68
2018-11-03,The Chainsmokers,1,66,152,69
2018-11-03,Tyga,27,62,31,70
2018-11-03,Lauv,43,70,26,71
2018-11-03,NCT 127,60,60,2,72
2018-11-03,Brett Young,26,71,99,73
2018-11-03,Normani,65,86,14,74
2018-11-03,Louis Tomlinson,33,80,16,75
2018-11-03,Lindsey Stirling,11,0,9,76
2018-11-03,Metallica,2,75,175,77
2018-11-03,Maren Morris,15,84,94,78
2018-11-03,Jimmie Allen,67,67,2,79
2018-11-03,Migos,1,77,107,80
2018-11-03,Ozuna,17,97,50,81
2018-11-03,J Balvin,16,74,59,82
2018-11-03,YoungBoy Never Broke Again,26,90,43,83
2018-11-03,Lynyrd Skynyrd,40,88,36,84
2018-11-03,Steve Perry,10,46,3,85
2018-11-03,Old Dominion,10,57,109,86
2018-11-03,Charlie Puth,6,64,178,87
2018-11-03,Kevin Gates,5,52,55,88
2018-11-03,Mitchell Tenpenny,89,0,0,89
2018-11-03,Zedd,17,82,86,90
2018-11-03,Luke Bryan,1,92,225,91
2018-11-03,Adele,1,85,194,92
2018-11-03,Cole Swindell,8,68,149,93
2018-11-03,for KING & COUNTRY,13,65,4,94
2018-11-03,Kenny Chesney,1,91,162,95
2018-11-03,Offset,75,76,12,96
2018-11-03,Lil Yachty,20,0,48,97
2018-11-03,Russell Dickerson,69,93,16,98
2018-11-03,Bryce Vine,80,0,8,99
2018-11-03,The Weeknd,1,0,210,100
